               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052362,            0.015478,                   0,             0.38788,             0.16667,             0.15889,            0.049078,            0.077299,            0.013006,                   0,            0.031584,           0.0065842,           0.0065842
                  38,            0.052491,             0.01445,                   0,             0.52411,             0.23333,             0.27623,            0.092645,            0.075853,            0.013592,                   0,            0.029734,           0.0067344,           0.0067344
                  39,            0.054548,            0.013935,                   0,             0.31819,                 0.2,             0.19729,            0.039013,            0.080817,            0.013035,                   0,            0.027883,           0.0068833,           0.0068833
                  40,             0.05319,            0.014715,                   0,             0.27845,                 0.2,              0.1397,             0.04267,            0.080829,            0.012638,                   0,            0.026031,           0.0070308,           0.0070308
                  41,            0.051281,            0.014086,                   0,             0.16084,             0.23333,             0.08051,            0.021095,            0.077936,            0.013569,                   0,            0.024177,            0.007177,            0.007177
                  42,             0.05218,            0.013709,                   0,              0.2244,             0.23333,             0.12567,            0.033397,            0.078414,            0.012318,                   0,            0.022322,           0.0073219,           0.0073219
                  43,            0.053195,            0.013746,                   0,             0.30648,             0.26667,             0.19219,            0.062328,            0.074628,            0.012424,                   0,            0.020465,           0.0074655,           0.0074655
                  44,            0.049634,            0.014213,                   0,             0.20905,             0.23333,             0.17808,            0.051489,            0.070541,            0.012655,                   0,            0.018608,           0.0076077,           0.0076077
                  45,            0.047046,            0.014219,                   0,             0.15469,             0.23333,             0.10347,            0.035438,            0.077694,            0.011581,                   0,            0.016749,           0.0077486,           0.0077486
                  46,            0.049643,            0.013212,                   0,             0.31948,             0.26667,             0.15659,            0.053449,            0.073471,            0.012157,                   0,            0.014888,           0.0078883,           0.0078883
                  47,            0.046423,            0.013485,                   0,             0.26621,             0.33333,             0.13886,            0.039184,            0.076056,            0.012053,                   0,            0.013027,           0.0080266,           0.0080266
                  48,            0.045141,            0.012707,                   0,             0.20484,             0.26667,             0.11296,            0.036135,            0.075324,            0.011974,                   0,            0.011164,           0.0081635,           0.0081635
                  49,            0.048922,            0.011802,                   0,              0.2446,             0.23333,             0.14252,            0.040572,            0.072446,            0.012775,                   0,           0.0092992,           0.0082992,           0.0082992
                  50,            0.048585,            0.012415,                   0,             0.21014,             0.36667,             0.12422,            0.035613,            0.077716,            0.011673,                   0,             0.00835,             0.00835,             0.00835
                  51,             0.04897,            0.012383,                   0,             0.33742,             0.28887,             0.17361,            0.061374,            0.076944,            0.011307,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.049107,            0.011222,                   0,             0.43506,                 0.3,             0.24802,            0.052256,            0.078432,            0.010889,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.046936,            0.011652,                   0,             0.12849,              0.2213,             0.12898,            0.046165,            0.081217,            0.010672,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.047335,            0.011247,                   0,             0.27179,             0.16667,             0.11867,            0.033231,            0.077704,            0.011881,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.046484,            0.011654,                   0,             0.16576,             0.33333,             0.11827,            0.048568,            0.077203,            0.012072,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.041688,            0.011666,                   0,             0.21865,                 0.3,             0.14164,            0.034091,            0.075156,            0.012018,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.040212,            0.011208,                   0,             0.36292,             0.26667,             0.17516,            0.066293,             0.07725,            0.011257,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.040404,             0.01094,                   0,             0.33389,             0.33333,             0.22234,            0.068978,            0.074734,            0.011311,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.041817,             0.01072,                   0,             0.28172,             0.36607,             0.18267,            0.070196,            0.073777,            0.011578,                   0,            0.008086,            0.008086,            0.008086
                  60,              0.0403,            0.010451,                   0,             0.32261,             0.33333,             0.20138,            0.059457,            0.072711,            0.011414,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.042748,            0.010432,                   0,             0.31474,             0.33333,             0.21064,            0.073233,            0.074631,            0.010899,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.041643,            0.010514,                   0,             0.32864,             0.33333,             0.20692,            0.058433,            0.074059,            0.011421,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.039444,           0.0096385,                   0,             0.56449,                 0.3,             0.30608,            0.079497,            0.076712,            0.012093,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.036786,            0.010251,                   0,              0.4053,                 0.3,             0.25026,            0.066247,            0.073506,            0.012457,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.038374,           0.0091638,                   0,             0.54407,             0.33333,             0.27576,            0.078079,            0.073332,            0.011427,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.035611,           0.0089239,                   0,             0.37493,             0.23333,             0.19741,            0.085001,            0.071992,            0.011557,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.040015,           0.0089751,                   0,              0.4584,             0.23333,             0.19962,            0.054341,            0.077417,            0.011002,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.039256,           0.0091103,                   0,             0.47242,             0.23333,             0.22946,            0.061027,            0.077956,             0.01123,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.038898,           0.0089963,                   0,             0.50193,                 0.3,             0.26251,            0.070916,            0.074613,            0.012102,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.036907,           0.0084767,                   0,              0.4666,             0.36667,             0.24487,            0.076618,            0.078472,            0.011936,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.038425,           0.0088152,                   0,              0.4268,             0.23333,             0.18726,            0.057328,            0.074718,             0.01248,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.039271,           0.0085778,                   0,             0.42334,             0.26667,             0.20323,            0.050847,            0.078644,            0.012459,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.03758,           0.0084563,                   0,             0.56373,             0.25888,              0.2401,            0.072518,            0.075467,            0.012352,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.041789,           0.0081501,                   0,             0.30139,             0.33333,             0.24305,            0.091165,            0.075031,            0.012169,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.031803,           0.0087491,                   0,             0.34492,                 0.3,             0.17897,            0.065242,            0.075739,            0.011822,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.033412,           0.0079897,                   0,              0.3735,             0.43333,             0.22885,             0.08023,            0.075956,            0.011894,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.033517,           0.0077238,                   0,             0.36589,             0.33333,             0.20387,             0.06746,            0.077404,            0.011816,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.036166,           0.0075683,                   0,             0.55333,             0.26667,              0.2572,            0.094507,            0.079691,            0.011078,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.034867,           0.0071832,                   0,             0.47052,             0.26667,             0.18833,            0.072918,            0.077929,            0.011848,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.033667,           0.0075594,                   0,              0.5571,             0.26667,             0.23573,            0.093909,            0.077096,            0.011292,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.034709,           0.0075594,                   0,             0.66565,             0.33333,             0.30746,             0.10566,            0.076134,            0.011169,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.035335,           0.0070857,                   0,             0.54561,                 0.3,             0.28544,            0.087276,            0.073797,            0.010967,                   0,            0.007327,            0.007327,            0.007327
                  83,             0.03464,           0.0072037,                   0,              0.4092,                 0.4,             0.32675,              0.1051,             0.07246,            0.010639,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.029511,           0.0078523,                   0,              0.4634,             0.33333,              0.3306,             0.10088,            0.072355,            0.010994,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.032851,           0.0069722,                   0,             0.30117,             0.34499,             0.24546,            0.066152,            0.074092,            0.011261,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.030658,           0.0069331,                   0,             0.40675,             0.46667,              0.2793,            0.075086,            0.070718,            0.011564,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.032405,            0.006529,                   0,             0.37525,             0.46667,             0.28474,             0.07925,            0.070723,            0.011696,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.030817,           0.0067426,                   0,             0.40914,             0.43333,             0.29049,             0.08547,            0.070801,             0.01189,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.034289,           0.0069267,                   0,              0.5395,             0.36667,             0.28317,            0.084912,             0.06992,            0.011131,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.036408,           0.0067855,                   0,             0.60945,             0.33333,             0.32858,             0.11012,            0.069061,            0.011395,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.031299,           0.0066064,                   0,              0.6022,             0.33333,             0.33488,              0.1084,            0.067325,            0.011473,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.027155,           0.0066607,                   0,             0.45389,             0.33333,             0.31803,              0.1196,            0.068075,            0.011868,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.02883,           0.0060288,                   0,             0.68666,             0.36533,             0.37072,             0.11917,            0.067504,            0.012085,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.032047,           0.0065388,                   0,             0.73471,             0.36667,             0.39565,             0.13614,            0.066413,            0.012856,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.031007,           0.0063286,                   0,             0.61692,             0.43333,             0.41978,              0.1454,            0.067129,            0.013098,                   0,            0.006898,            0.006898,            0.006898
                  96,              0.0318,           0.0062075,                   0,             0.52522,             0.43333,             0.36689,             0.12443,            0.068665,            0.013357,                   0,            0.006865,            0.006865,            0.006865
