               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.067963,            0.021007,                   0,             0.19565,             0.13636,             0.15885,            0.063601,            0.077743,            0.017366,                   0,            0.066248,           0.0032482,           0.0032482
                  38,            0.061816,            0.021421,                   0,             0.17765,             0.22727,             0.14245,            0.035067,            0.082007,            0.016729,                   0,            0.065323,           0.0033235,           0.0033235
                  39,            0.063416,             0.02282,                   0,             0.11037,             0.22727,             0.10388,            0.021631,            0.078437,            0.017458,                   0,            0.064398,           0.0033981,           0.0033981
                  40,            0.061351,            0.024567,                   0,             0.29049,             0.27273,             0.20531,            0.080626,            0.079718,            0.016951,                   0,            0.063472,            0.003472,            0.003472
                  41,            0.060358,            0.022817,                   0,            0.095343,             0.18182,             0.08225,             0.02888,            0.074122,            0.018086,                   0,            0.062545,           0.0035453,           0.0035453
                  42,            0.059467,            0.022061,                   0,             0.29407,             0.22727,             0.20355,            0.081025,            0.078923,            0.017146,                   0,            0.061618,           0.0036179,           0.0036179
                  43,            0.056128,            0.022891,                   0,             0.42712,             0.13636,             0.17485,            0.059402,            0.078391,            0.017676,                   0,             0.06069,           0.0036898,           0.0036898
                  44,            0.058939,            0.019328,                   0,             0.47264,             0.18182,             0.20094,            0.072826,            0.074696,            0.017634,                   0,            0.059761,           0.0037611,           0.0037611
                  45,            0.057877,            0.022083,                   0,             0.39198,             0.22727,             0.25161,             0.12304,            0.072062,            0.018032,                   0,            0.058832,           0.0038317,           0.0038317
                  46,            0.057878,            0.022931,                   0,             0.50354,             0.22727,              0.3026,             0.12174,            0.070763,            0.017656,                   0,            0.057902,           0.0039017,           0.0039017
                  47,            0.054751,            0.019167,                   0,             0.72604,             0.22727,             0.28881,             0.16229,            0.074107,            0.017422,                   0,            0.056971,            0.003971,            0.003971
                  48,            0.055505,            0.021593,                   0,             0.82751,             0.22727,             0.33832,             0.13804,            0.065777,            0.017593,                   0,             0.05604,           0.0040397,           0.0040397
                  49,            0.056169,            0.021328,                   0,             0.78658,             0.22727,             0.32407,             0.14274,            0.074594,            0.017041,                   0,            0.055108,           0.0041077,           0.0041077
                  50,            0.055149,             0.01964,                   0,             0.40547,             0.31818,             0.38127,             0.15085,            0.062891,             0.01783,                   0,            0.054175,            0.004175,            0.004175
                  51,            0.052255,             0.02006,                   0,             0.43986,             0.36364,             0.40101,             0.19432,            0.069374,            0.017036,                   0,            0.053242,           0.0042417,           0.0042417
                  52,            0.049836,            0.022728,                   0,              0.7463,             0.31818,             0.44984,             0.15174,            0.063739,            0.017222,                   0,            0.052308,           0.0043077,           0.0043077
                  53,            0.049335,            0.020593,                   0,             0.67816,              0.2884,             0.42568,             0.20962,            0.066101,            0.016685,                   0,            0.051373,            0.004373,            0.004373
                  54,            0.050563,            0.020558,                   0,             0.67432,             0.31818,             0.45886,             0.15251,            0.063547,            0.016421,                   0,            0.050438,           0.0044377,           0.0044377
                  55,            0.050948,            0.020465,                   0,             0.42808,             0.44269,             0.45063,             0.18557,             0.06808,            0.015688,                   0,            0.049502,           0.0045017,           0.0045017
                  56,            0.052156,            0.020831,                   0,             0.41515,             0.54545,              0.5137,             0.18087,             0.06065,            0.015955,                   0,            0.048565,           0.0045651,           0.0045651
                  57,            0.049289,            0.020535,                   0,             0.37811,             0.40909,             0.44442,             0.20661,             0.06688,            0.015098,                   0,            0.047628,           0.0046278,           0.0046278
                  58,            0.049348,            0.020268,                   0,              0.3477,             0.59091,             0.52821,             0.15762,            0.060294,             0.01552,                   0,             0.04669,           0.0046899,           0.0046899
                  59,             0.04907,            0.019341,                   0,             0.69219,             0.31818,             0.48365,             0.19539,            0.065701,            0.014871,                   0,            0.045751,           0.0047513,           0.0047513
                  60,            0.051706,            0.019306,                   0,             0.69169,             0.36364,             0.53079,             0.17639,            0.060101,            0.014907,                   0,            0.044812,            0.004812,            0.004812
                  61,            0.044902,            0.020167,                   0,             0.78841,             0.31818,             0.48774,             0.20266,             0.06129,            0.014824,                   0,            0.043872,           0.0048721,           0.0048721
                  62,            0.046876,            0.018603,                   0,              0.5859,             0.38666,              0.4742,             0.14891,            0.058911,            0.014587,                   0,            0.042931,           0.0049315,           0.0049315
                  63,            0.049795,            0.016885,                   0,             0.87627,             0.27273,               0.478,             0.19465,            0.061009,            0.014189,                   0,             0.04199,           0.0049902,           0.0049902
                  64,            0.048261,            0.020686,                   0,             0.34846,             0.59091,             0.44601,              0.1464,            0.059909,            0.013972,                   0,            0.041048,           0.0050483,           0.0050483
                  65,            0.047618,            0.018657,                   0,             0.79751,             0.35855,             0.45461,             0.15758,            0.060612,            0.013857,                   0,            0.040106,           0.0051057,           0.0051057
                  66,            0.045137,            0.018815,                   0,              0.6959,             0.41653,             0.63881,             0.21876,            0.055664,            0.013635,                   0,            0.039163,           0.0051625,           0.0051625
